season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2013,184,McCall Zerboni,us USA,MF,Western New York Flash,26.0,1986.0,20,20,1706.0,0.0,,0.0,0.0,1.0,0.0
2013,185,Emily Zurrer,ca CAN,DF,Seattle,25.0,1987.0,7,6,,0.0,0.0,0.0,0.0,1.0,0.0
2014,1,Jackie Acevedo,mx MEX,FW,Portland Thorns FC,27.0,1987.0,2,0,15.0,0.0,0.0,,,0.0,0.0
2014,2,Danesha Adams,us USA,"FW,MF",Washington Spirit,27.0,1986.0,13,9,802.0,1.0,1.0,,,1.0,0.0
2014,3,Adriana,es ESP,FW,Western New York Flash,27.0,1986.0,19,12,1195.0,3.0,4.0,,,0.0,0.0
2014,4,Teigen Allen,au AUS,DF,Western New York Flash,19.0,1994.0,4,2,258.0,0.0,0.0,,,2.0,0.0
2014,5,Jordan Angeli,us USA,"DF,FW",Washington Spirit,27.0,1986.0,10,2,235.0,0.0,0.0,,,1.0,1.0
2014,6,Nadine Angerer,de GER,GK,Portland Thorns FC,35.0,1978.0,22,22,1917.0,,,,,,
2014,7,Leigh Ann Brown,us USA,"DF,MF",FC Kansas City,27.0,1986.0,23,23,2012.0,0.0,2.0,,,0.0,0.0
2014,8,Jazmyne Avant,us USA,DF,Boston Breakers,24.0,1990.0,12,9,778.0,0.0,0.0,,,2.0,0.0
2014,9,Yael Averbuch,us USA,MF,Washington Spirit,27.0,1986.0,22,17,1562.0,1.0,1.0,,,1.0,0.0
2014,10,Amy Barczuk,us USA,DF,Western New York Flash,23.0,1990.0,19,9,886.0,0.0,0.0,,,0.0,0.0
2014,11,Lauren Barnes,us USA,DF,Seattle,24.0,1989.0,23,22,1898.0,0.0,0.0,,,2.0,0.0
