ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
147,Shae Holmes,usUSA,DF,Reign,23,2000,13.2,,,,,,,,,,,,,,,,,Matches
148,Haley Hopkins,usUSA,"FW,MF",NC Courage,25,1998,16.3,,,,,,,,,,,,,,,,,Matches
149,Jaelin Howell,usUSA,MF,Reign,24,1999,5.3,,,,,,,,,,,,,,,,,Matches
150,Jaelin Howell,usUSA,MF,Racing Louisville,24,1999,7.8,,,,,,,,,,,,,,,,,Matches
151,Kelli Hubly,usUSA,DF,Portland Thorns,29,1994,19.1,,,,,,,,,,,,,,,,,Matches
152,Sofia Huerta,usUSA,DF,Reign,31,1992,19.0,,,,,,,,,,,,,,,,,Matches
153,Jordyn Huitema,caCAN,"FW,MF",Reign,22,2001,16.7,,,,,,,,,,,,,,,,,Matches
154,Claire Hutton,usUSA,MF,Current,18,2006,18.4,,,,,,,,,,,,,,,,,Matches
155,Laurel Ivory,usUSA,GK,Reign,24,1999,8.3,,,,,,,,,,,,,,,,,Matches
156,Riley Jackson,usUSA,MF,NC Courage,18,2005,3.5,,,,,,,,,,,,,,,,,Matches
157,Natalie Jacobs,usUSA,DF,Houston Dash,26,1997,13.8,,,,,,,,,,,,,,,,,Matches
158,Sofia Jakobsson,seSWE,"MF,FW",SD Wave,33,1990,6.2,,,,,,,,,,,,,,,,,Matches
159,Angharad James,wlsWAL,MF,Reign,29,1994,9.9,,,,,,,,,,,,,,,,,Matches
160,Ellie Jean,usUSA,DF,Racing Louisville,27,1997,6.6,,,,,,,,,,,,,,,,,Matches
161,Mwanalima Jereko,keKEN,MF,Current,26,1997,0.5,,,,,,,,,,,,,,,,,Matches
162,Celia Jiménez,esESP,DF,Orlando Pride,28,1995,0.8,,,,,,,,,,,,,,,,,Matches
